year,vegetation_percentage,average_ndvi,image_id,image_date,cloud_cover,valid_pixel_fraction
2020,38.216369522245245,0.27917764668482997,S2B_MSIL2A_20200922T104649_R051_T31UDQ_20201028T025243,2020-09-22 10:46:49.025000+00:00,0.065186,0.9943388988484093
2021,41.64534900332384,0.3089803681784115,S2A_MSIL2A_20210902T105031_R051_T31UDQ_20210903T000651,2021-09-02 10:50:31.024000+00:00,0.101785,0.9969975843942754
2022,24.671551144585862,0.18644478134686004,S2A_MSIL2A_20220719T105041_R051_T31UDQ_20220720T004234,2022-07-19 10:50:41.025000+00:00,0.001626,0.9999810093889581
2023,27.16588741563389,0.18803627150786661,S2B_MSIL2A_20230907T104629_R051_T31UDQ_20230907T204133,2023-09-07 10:46:29.024000+00:00,0.002648,0.9999962018777916
2024,28.181212208684027,0.1966624513712029,S2B_MSIL2A_20240805T105619_R094_T31UDQ_20240805T143427,2024-08-05 10:56:19.024000+00:00,0.001005,1.0
2025,29.777884126007457,0.20655316887298317,S2C_MSIL2A_20250812T104641_R051_T31UDQ_20250812T161301,2025-08-12 10:46:41.025000+00:00,0.003003,0.9999924037555833
2026,24.282249855671356,0.17837816698416373,S2B_MSIL2A_20260812T104619_R051_T31UDQ_20260812T131957,2026-08-12 10:46:19.024000+00:00,0.001662,1.0
